cotacaoVenda,dataHoraCotacao
"5,3436",2023-01-02 13:05:57.593
"5,3759",2023-01-03 13:11:19.08
"5,4459",2023-01-04 13:09:19.572
"5,4026",2023-01-05 13:03:32.262
"5,2855",2023-01-06 13:02:28.727
"5,2967",2023-01-09 13:07:16.725
"5,2395",2023-01-10 13:05:25.681
"5,202",2023-01-11 13:07:22.492
"5,14",2023-01-12 13:09:27.278
"5,1146",2023-01-13 13:10:23.139
"5,1115",2023-01-16 13:07:23.23
"5,1203",2023-01-17 13:09:23.089
"5,0909",2023-01-18 13:11:36.521
"5,2144",2023-01-19 13:07:18.678
"5,1986",2023-01-20 13:08:32.655
"5,1922",2023-01-23 13:10:05.284
"5,1696",2023-01-24 13:07:36.435
"5,1042",2023-01-25 13:05:22.246
"5,0951",2023-01-26 13:02:40.388
"5,0767",2023-01-27 13:02:20.823
"5,0959",2023-01-30 13:09:30.184
"5,0993",2023-01-31 13:11:17.029
"5,0721",2023-02-01 13:04:23.003
"4,9901",2023-02-02 13:06:34.991
"5,103",2023-02-03 13:10:20.729
"5,1763",2023-02-06 13:09:36.686
"5,1695",2023-02-07 13:10:17.648
"5,2036",2023-02-08 13:08:42.613
"5,2315",2023-02-09 13:06:23.349
"5,2526",2023-02-10 13:11:17.992
"5,1834",2023-02-13 13:07:17.912
"5,1507",2023-02-14 13:04:31.517
"5,2243",2023-02-15 13:10:05.932
"5,2432",2023-02-16 13:07:19.16
"5,2012",2023-02-17 13:11:21.869
"5,173",2023-02-22 15:39:24.527
"5,133",2023-02-23 13:05:18.359
"5,1791",2023-02-24 13:10:55.215
"5,196",2023-02-27 13:11:43.013
"5,2078",2023-02-28 13:11:19.197
"5,207",2023-03-01 13:07:21.4
"5,208",2023-03-02 13:09:37.928
"5,2037",2023-03-03 13:04:25.958
"5,197",2023-03-06 13:06:23.946
"5,1901",2023-03-07 13:04:16.368
"5,1387",2023-03-08 13:08:39.391
"5,1353",2023-03-09 13:07:27.955
"5,1822",2023-03-10 13:04:39.316
"5,24",2023-03-13 13:07:19.847
"5,2362",2023-03-14 13:06:42.426
"5,2981",2023-03-15 13:10:23.373
"5,2892",2023-03-16 13:08:36.441
"5,2679",2023-03-17 13:06:41.604
"5,2467",2023-03-20 13:09:32.724
"5,2444",2023-03-21 13:02:26.895
"5,2648",2023-03-22 13:03:35.608
"5,2632",2023-03-23 13:11:17.083
"5,2921",2023-03-24 13:10:20.867
"5,2306",2023-03-27 13:04:25.505
"5,1733",2023-03-28 13:06:23.561
"5,1493",2023-03-29 13:03:45.818
"5,1254",2023-03-30 13:11:18.582
"5,0804",2023-03-31 13:03:22.571
"5,0637",2023-04-03 13:04:18.827
"5,0762",2023-04-04 13:04:34.464
"5,0447",2023-04-05 13:05:17.533
"5,0683",2023-04-06 13:03:26.701
"5,0834",2023-04-10 13:06:33.063
"5,0128",2023-04-11 13:08:32.067
"4,9496",2023-04-12 13:06:18.938
"4,9097",2023-04-13 13:05:15.825
"4,9455",2023-04-14 13:05:18.797
"4,9421",2023-04-17 13:27:04.05
"4,9678",2023-04-18 13:06:23.327
"5,0467",2023-04-19 13:05:45.757
"5,0497",2023-04-20 13:06:23.988
"5,0595",2023-04-24 13:11:39.727
"5,0613",2023-04-25 13:06:29.387
"5,0585",2023-04-26 13:09:29.782
"5,015",2023-04-27 13:02:22.639
"5,0007",2023-04-28 13:06:19.082
"5,0334",2023-05-02 13:10:18.402
"5,0227",2023-05-03 13:02:19.835
"5,0106",2023-05-04 13:04:49.822
"4,9696",2023-05-05 13:05:21.278
"4,9696",2023-05-08 13:02:22.317
"5,0007",2023-05-09 13:08:21.788
"4,9547",2023-05-10 13:03:19.227
"4,9696",2023-05-11 13:09:27.758
"4,9234",2023-05-12 13:06:02.799
"4,9103",2023-05-15 13:04:38.278
"4,9122",2023-05-16 13:09:16.669
"4,9513",2023-05-17 13:06:15.757
"4,9647",2023-05-18 13:09:20.696
"4,9858",2023-05-19 13:08:16.885
"4,968",2023-05-22 13:05:22.716
"4,9674",2023-05-23 13:08:23.321
"4,9474",2023-05-24 13:04:35.737
"4,999",2023-05-25 13:04:36.531
"5,0114",2023-05-26 13:07:17.73
